Query,Relevant Axioms IDs,Size of relevant axioms,Word2Vec_Ranking,BERT_Ranking,SBERT_Ranking,SapBERT_Ranking,owl2vec_iri_Ranking,owl2vec_Ranking,owl2vec_pretrained_Ranking
"It is a physical, or chemical, or biological, naturally occurring process that occurs on the Earth’s surface or subsurface and occupies some 'geological time interval'","['117', '121', '87', '159', '75', '190']",6,"['120', '75', '181', '163', '18', '143', '159', '117', '203', '61']","{'87': 0.86148566, '120': 0.8546368, '181': 0.846253, '159': 0.8391595, '118': 0.83253837, '39': 0.8312268, '14': 0.82594, '114': 0.8130118, '117': 0.8125932, '203': 0.8019445}","{'159': 0.6053444, '120': 0.60412633, '190': 0.5908171, '75': 0.52259004, '117': 0.5224026, '14': 0.50671864, '203': 0.4608335, '33': 0.3964168, '163': 0.3515591, '124': 0.28751647}","{'120': 0.8279923, '159': 0.8130926, '75': 0.79553103, '190': 0.7951734, '117': 0.7899965, '203': 0.7651776, '181': 0.7580086, '87': 0.73788345, '98': 0.7284484, '66': 0.7140576}","{'137': 0.93811, '166': 0.9357282, '203': 0.9355977, '22': 0.93461245, '63': 0.93321955, '2': 0.9327476, '194': 0.9327231, '11': 0.93201876, '4': 0.93186903, '119': 0.93061626}","{'66': 0.9628888, '159': 0.9562217, '203': 0.95426816, '124': 0.9509414, '137': 0.9507796, '11': 0.9503038, '155': 0.95029, '166': 0.95003414, '22': 0.9498166, '84': 0.9486883}","{'124': 0.99897146, '89': 0.998729, '139': 0.99858403, '207': 0.9985388, '53': 0.9985353, '90': 0.9985252, '104': 0.9985249, '107': 0.9985171, '71': 0.9985138, '68': 0.9984088}"
Fault Horse: a geological object that is externally_connected_with only Physical Slip Surface. It is bounded by slip surfaces in 3D spatial region.,"['194', '26']",2,"['7', '6', '89', '69', '139', '28', '194', '61', '24', '140']","{'7': 0.898584, '69': 0.8944243, '63': 0.89147115, '194': 0.8841592, '89': 0.8836391, '46': 0.8835002, '24': 0.8753016, '140': 0.874223, '212': 0.86630875, '84': 0.8644048}","{'194': 0.8377905, '26': 0.7344668, '63': 0.65397966, '24': 0.6431408, '7': 0.57076156, '146': 0.5632328, '69': 0.5551525, '6': 0.5512582, '2': 0.53199255, '222': 0.5286654}","{'194': 0.85715234, '26': 0.8262196, '63': 0.7552233, '7': 0.7444714, '34': 0.70634025, '69': 0.7033285, '70': 0.7033247, '24': 0.70268345, '197': 0.69338715, '89': 0.689865}","{'68': 0.96035546, '139': 0.95990336, '134': 0.9591218, '28': 0.9494, '1': 0.9421076, '194': 0.9420784, '91': 0.9414553, '115': 0.9406556, '63': 0.93585145, '131': 0.9350326}","{'220': 0.9715101, '11': 0.9701832, '22': 0.9686752, '120': 0.96841115, '2': 0.9669575, '155': 0.9667419, '124': 0.9654957, '84': 0.9652443, '166': 0.9643848, '66': 0.9615681}","{'222': 0.99935716, '212': 0.9992303, '203': 0.99904424, '7': 0.9989763, '120': 0.9989384, '34': 0.9988963, '152': 0.998812, '146': 0.99861807, '35': 0.99833214, '196': 0.99813956}"
Conjugate: a number of fault surfaces can be grouped into two sets that are inclined to one another at an angle of about 60°.,['210'],1,"['210', '207', '63', '122', '139', '194', '172', '28', '115', '68']","{'43': 0.8939218, '88': 0.8786497, '173': 0.87844545, '72': 0.8777993, '57': 0.87470627, '222': 0.8729919, '138': 0.86597985, '184': 0.8643733, '200': 0.86424696, '187': 0.8566956}","{'46': 0.6945378, '172': 0.6653204, '69': 0.6563106, '210': 0.6329967, '6': 0.6305479, '140': 0.6276651, '127': 0.6259692, '89': 0.62209713, '7': 0.60624003, '74': 0.584288}","{'210': 0.66951543, '222': 0.64725196, '173': 0.64067733, '46': 0.6098098, '132': 0.6082171, '200': 0.60376024, '37': 0.5982662, '179': 0.5976897, '115': 0.5966202, '69': 0.5935254}","{'44': 0.9469435, '131': 0.94648665, '88': 0.9411764, '50': 0.9280944, '170': 0.9267432, '138': 0.9249869, '102': 0.9244054, '220': 0.9236933, '105': 0.91995806, '212': 0.91720587}","{'13': 0.9629158, '152': 0.9615363, '32': 0.96088886, '105': 0.95865405, '66': 0.95843774, '156': 0.9580656, '11': 0.95743334, '181': 0.9564068, '212': 0.9542059, '220': 0.9541943}","{'42': 0.9986958, '119': 0.9986898, '63': 0.9986842, '194': 0.99867165, '66': 0.9983313, '84': 0.9980537, '2': 0.99804497, '117': 0.99802506, '75': 0.9980123, '33': 0.9978845}"
Foot Wall: a role that is role_of  some Fault Wall located below the Fault Surface to which it is related.,"['83', '52']",2,"['42', '149', '24', '52', '182', '71', '23', '119', '76', '7']","{'146': 0.8636751, '69': 0.8573661, '161': 0.8535834, '108': 0.85203004, '40': 0.8495874, '76': 0.84780204, '185': 0.8478008, '141': 0.8463773, '153': 0.84622437, '212': 0.8448813}","{'52': 0.74132496, '42': 0.6295662, '23': 0.6269213, '149': 0.6030629, '169': 0.59680295, '24': 0.59316796, '182': 0.58064973, '141': 0.55702335, '76': 0.53863883, '152': 0.47248894}","{'52': 0.781044, '76': 0.71324694, '71': 0.7035947, '182': 0.69845057, '83': 0.6907513, '7': 0.6887815, '69': 0.68558437, '89': 0.6823792, '24': 0.67925406, '42': 0.6773516}","{'220': 0.9436902, '102': 0.9355852, '138': 0.93537194, '23': 0.928862, '52': 0.92885953, '59': 0.9260019, '149': 0.924082, '94': 0.9233647, '105': 0.922714, '78': 0.9191553}","{'152': 0.98290014, '220': 0.9704907, '23': 0.9631578, '11': 0.9629695, '22': 0.96216893, '33': 0.9615276, '141': 0.9604012, '36': 0.9603151, '108': 0.9601554, '7': 0.95980364}","{'124': 0.9993248, '71': 0.9993093, '90': 0.99930656, '107': 0.9993055, '53': 0.99930537, '104': 0.9993045, '89': 0.9992095, '68': 0.9990604, '122': 0.99887824, '139': 0.99884933}"
"An amount of rock is an 'earth material' that is a naturally occuring, inorganic, solid, homogeneous chemical compound with a crystalline structure.",['180'],1,"['180', '33', '203', '133', '100', '75', '147', '28', '152', '39']","{'180': 0.87303036, '147': 0.8678673, '133': 0.8575548, '181': 0.856979, '120': 0.8534744, '203': 0.852564, '97': 0.8521873, '118': 0.8456641, '163': 0.8415166, '196': 0.82035345}","{'147': 0.7336415, '97': 0.5772062, '75': 0.5519719, '203': 0.53264654, '45': 0.4984763, '33': 0.48837417, '163': 0.47926128, '124': 0.44666734, '66': 0.4224717, '114': 0.3921046}","{'147': 0.9082049, '180': 0.85152864, '133': 0.8178188, '41': 0.78696084, '97': 0.7828249, '33': 0.78103304, '203': 0.7803671, '113': 0.773139, '129': 0.7628875, '75': 0.7576027}","{'131': 0.9319658, '56': 0.93034256, '88': 0.9297358, '95': 0.92844796, '58': 0.9284009, '44': 0.9273356, '179': 0.92699605, '151': 0.92603433, '57': 0.9251071, '1': 0.92370075}","{'63': 0.98275113, '194': 0.9823569, '42': 0.9817668, '119': 0.9816856, '114': 0.9793917, '26': 0.97612286, '39': 0.9759848, '130': 0.97513384, '34': 0.97351694, '67': 0.97296304}","{'222': 0.99808335, '212': 0.9978756, '7': 0.9976889, '203': 0.9975876, '159': 0.9974824, '152': 0.99748033, '181': 0.997442, '156': 0.9974372, '119': 0.9973428, '42': 0.9973347}"
Large Clasts Proportion: a Rock Quality inheres in rock. It quantifies the proportion of the rock has clasts larger than 2mm.,['193'],1,"['192', '31', '100', '37', '155', '129', '84', '50', '33', '11']","{'192': 0.88720304, '31': 0.83458436, '129': 0.8271108, '97': 0.82615745, '35': 0.8182366, '45': 0.8175311, '84': 0.81688595, '46': 0.8135842, '196': 0.812447, '100': 0.8120618}","{'192': 0.8647195, '129': 0.48184124, '100': 0.4672436, '45': 0.4542408, '97': 0.44608074, '163': 0.36526847, '33': 0.3542441, '114': 0.32225698, '124': 0.28972173, '66': 0.26487687}","{'192': 0.8686997, '152': 0.6478729, '17': 0.6408775, '113': 0.617844, '129': 0.61751306, '37': 0.6114708, '33': 0.60395396, '100': 0.58717704, '50': 0.586907, '197': 0.58186036}","{'37': 0.9187734, '186': 0.9173037, '129': 0.91595435, '50': 0.9113666, '96': 0.90811104, '11': 0.90459156, '22': 0.90053296, '152': 0.8990716, '170': 0.8960726, '78': 0.8947677}","{'50': 0.9236905, '37': 0.920461, '170': 0.9021793, '78': 0.89927536, '129': 0.89307266, '16': 0.8926123, '105': 0.8922257, '152': 0.88773763, '52': 0.88656485, '140': 0.8849536}","{'100': 0.9990568, '105': 0.999012, '170': 0.9988702, '78': 0.9986085, '141': 0.99860543, '59': 0.99860424, '45': 0.9986009, '23': 0.9985917, '108': 0.9985853, '36': 0.9985825}"
"Fault Gouge: a non-cohesive Brittle Fault Rock containing maximum in volume 30% “large” clasts 
Superclass: Brittle Fault Rock (Def.13)","['171', '96']",2,"['37', '96', '31', '186', '84', '11', '22', '2', '170', '140']","{'31': 0.8599563, '84': 0.8366425, '11': 0.826895, '192': 0.8256685, '22': 0.8250377, '196': 0.8176129, '137': 0.81420875, '152': 0.8098756, '35': 0.80900025, '212': 0.80285454}","{'96': 0.8265876, '186': 0.7530218, '31': 0.7391225, '84': 0.7325277, '22': 0.7175379, '11': 0.6348573, '2': 0.61024034, '146': 0.60236824, '170': 0.5471667, '156': 0.52573234}","{'96': 0.7330855, '31': 0.6434088, '37': 0.638254, '186': 0.63380367, '22': 0.62360287, '86': 0.61245525, '11': 0.60477334, '192': 0.6028267, '30': 0.59348273, '170': 0.59262925}","{'37': 0.87084997, '105': 0.8632732, '186': 0.8631016, '50': 0.8619056, '129': 0.85910296, '96': 0.8571793, '11': 0.84643394, '152': 0.8456134, '78': 0.8425533, '170': 0.8422033}","{'50': 0.86506563, '37': 0.843638, '170': 0.8243434, '16': 0.82128686, '78': 0.818163, '178': 0.8109482, '105': 0.806936, '129': 0.80455446, '52': 0.7990514, '46': 0.79515564}","{'222': 0.9973222, '212': 0.99673086, '7': 0.9964079, '203': 0.9963609, '181': 0.9961786, '159': 0.9960924, '35': 0.99604523, '146': 0.9960176, '152': 0.9959599, '196': 0.99542224}"
"Geological Deformation: a geological process, which changes the shape and/or the volume of some material entity that is constituted_by some amount of rock.","['33', '87', '183', '4']",4,"['33', '75', '4', '159', '144', '163', '117', '87', '181', '120']","{'159': 0.871138, '33': 0.85481954, '120': 0.84889007, '66': 0.84310037, '97': 0.83462316, '181': 0.83148444, '39': 0.83025056, '117': 0.828891, '183': 0.82406324, '35': 0.8121498}","{'33': 0.785648, '87': 0.76186496, '144': 0.6804967, '4': 0.671072, '120': 0.66091454, '159': 0.6283754, '181': 0.6179866, '117': 0.6154119, '163': 0.5494982, '66': 0.5164315}","{'33': 0.8788187, '87': 0.86942863, '183': 0.7837245, '4': 0.7796613, '144': 0.7435943, '155': 0.73870707, '97': 0.7191055, '120': 0.7047626, '117': 0.6830406, '181': 0.67414856}","{'166': 0.93727714, '137': 0.93565357, '178': 0.9351398, '11': 0.9350732, '78': 0.934119, '22': 0.93144935, '149': 0.92993814, '50': 0.92919046, '170': 0.92600584, '220': 0.9170211}","{'152': 0.9588235, '166': 0.95305055, '137': 0.9525651, '182': 0.9510634, '149': 0.9508432, '24': 0.95033115, '153': 0.95020485, '40': 0.9493872, '185': 0.948927, '66': 0.94316167}","{'28': 0.99956316, '32': 0.9995624, '13': 0.9995602, '140': 0.9995205, '129': 0.9995153, '105': 0.9995145, '46': 0.99951273, '169': 0.999425, '29': 0.9993958, '100': 0.9993085}"
"Cohesion: a Rock Quality inheres in rock. It measures the capability of a rock  being broken into component granules with fingers or with the aid of a pen knife.
Values: Cohesion, Non-cohesion",['17'],1,"['100', '17', '152', '129', '155', '178', '16', '50', '33', '11']","{'192': 0.8365802, '196': 0.8320502, '84': 0.82985425, '35': 0.82956123, '17': 0.82888186, '178': 0.82428384, '129': 0.82380664, '78': 0.8225852, '31': 0.82225186, '97': 0.81821334}","{'17': 0.7831349, '192': 0.50600713, '129': 0.4994862, '50': 0.47829992, '45': 0.45127106, '163': 0.42861784, '33': 0.42010957, '114': 0.37127632, '152': 0.36609292, '124': 0.35179117}","{'17': 0.8029023, '50': 0.66051567, '100': 0.6382006, '11': 0.6344129, '155': 0.63158154, '130': 0.63089705, '129': 0.6282469, '192': 0.6266661, '152': 0.61250556, '33': 0.6076816}","{'129': 0.9221931, '186': 0.9218778, '155': 0.9209964, '37': 0.9177538, '152': 0.9150043, '45': 0.91499525, '11': 0.91347575, '22': 0.91277236, '50': 0.91212296, '105': 0.9065588}","{'166': 0.9508852, '137': 0.9505005, '59': 0.95044434, '45': 0.9502891, '129': 0.94896173, '23': 0.94886285, '182': 0.94878435, '97': 0.9478316, '153': 0.94768375, '149': 0.94732904}","{'222': 0.99926966, '7': 0.99866, '120': 0.9985116, '146': 0.99842656, '118': 0.99841815, '187': 0.9983908, '62': 0.9983827, '34': 0.9983664, '196': 0.9979057, '35': 0.99790525}"
"Fault Core Membrane: a geological object that is part_of some Fault Core, constituted_by some Brittle Fault Rock, has_quality some Smeared and has_quality some Continuity. It corresponds to a long and thin layer of the fault core.","['78', '167', '16', '18', '178', '12']",6,"['11', '166', '18', '22', '2', '140', '78', '63', '137', '42']","{'11': 0.8892285, '22': 0.8817774, '84': 0.86975753, '2': 0.86647993, '152': 0.86579734, '69': 0.8603883, '166': 0.8560127, '31': 0.8550191, '46': 0.85483557, '35': 0.83963716}","{'11': 0.78360015, '18': 0.7832997, '166': 0.7827542, '78': 0.7197336, '22': 0.69490945, '178': 0.69339883, '16': 0.6504261, '2': 0.6161416, '156': 0.55727696, '152': 0.54713094}","{'11': 0.8131316, '18': 0.80028415, '16': 0.76458323, '166': 0.7581642, '178': 0.74654007, '22': 0.73511946, '2': 0.72423995, '30': 0.72282284, '53': 0.7020149, '8': 0.69591707}","{'178': 0.9239905, '16': 0.9215186, '11': 0.91868865, '78': 0.91855687, '50': 0.90981424, '203': 0.90800047, '170': 0.9069518, '166': 0.9033897, '129': 0.9027047, '22': 0.90034276}","{'212': 0.92765754, '222': 0.9245999, '203': 0.9188661, '78': 0.91421527, '152': 0.91204214, '159': 0.90125066, '33': 0.89975226, '11': 0.89699346, '7': 0.8953067, '220': 0.8882009}","{'140': 0.99956083, '28': 0.9995594, '13': 0.9995553, '129': 0.9995534, '46': 0.99955297, '32': 0.9995529, '169': 0.9994043, '178': 0.99939525, '94': 0.99932456, '50': 0.9992312}"
Parallel: a set of fault surfaces that roughly parallel one another.,['123'],1,"['122', '42', '63', '194', '161', '85', '119', '139', '13', '69']","{'43': 0.89044464, '57': 0.8795325, '72': 0.87905186, '151': 0.87772834, '173': 0.8776517, '184': 0.86929953, '200': 0.86340344, '96': 0.86330116, '222': 0.8613168, '6': 0.85998416}","{'122': 0.72860223, '69': 0.59369206, '172': 0.592347, '140': 0.55777943, '89': 0.55524975, '6': 0.55133784, '127': 0.5510639, '161': 0.5480405, '7': 0.54143417, '74': 0.52896154}","{'122': 0.71701825, '222': 0.67835706, '173': 0.6591959, '193': 0.6404806, '46': 0.6355214, '72': 0.6275933, '132': 0.62642616, '69': 0.62611425, '57': 0.613634, '24': 0.60351723}","{'145': 0.9283325, '13': 0.92709833, '122': 0.9259715, '207': 0.92447245, '91': 0.9238925, '1': 0.9234991, '44': 0.92290574, '88': 0.9187369, '131': 0.9176595, '212': 0.90066075}","{'13': 0.959462, '32': 0.9590931, '28': 0.9524195, '59': 0.92703474, '182': 0.92700344, '141': 0.9255757, '108': 0.92451763, '23': 0.92421937, '36': 0.92362386, '66': 0.9195522}","{'72': 0.9980153, '165': 0.99796987, '8': 0.9979602, '144': 0.99795496, '133': 0.99794865, '130': 0.99793774, '62': 0.99793184, '187': 0.99793005, '34': 0.9979182, '120': 0.9978755}"
Reverse Fault: a Fault Structure in which Fault Wall has_role Hanging Wall is higher or has moved upthrown relative to the Fault Wall has_role Footwall.,"['88', '192', '222', '212']",4,"['52', '193', '42', '222', '105', '43', '72', '57', '212', '173']","{'146': 0.8247263, '85': 0.8205717, '71': 0.8156684, '212': 0.811371, '42': 0.81060255, '99': 0.8086366, '46': 0.8068688, '105': 0.8060929, '222': 0.80594623, '35': 0.7975639}","{'52': 0.6824312, '42': 0.6587322, '23': 0.6463046, '43': 0.6050234, '182': 0.596373, '71': 0.5661968, '76': 0.534722, '222': 0.52100265, '156': 0.513397, '212': 0.50210726}","{'88': 0.7201316, '52': 0.68761533, '212': 0.6828842, '193': 0.67864037, '197': 0.67757064, '182': 0.66283464, '71': 0.6500742, '7': 0.64335, '42': 0.6287675, '69': 0.6221143}","{'220': 0.96164143, '138': 0.9385685, '102': 0.9382047, '131': 0.93087155, '44': 0.929001, '149': 0.9277938, '137': 0.9272637, '166': 0.9268705, '78': 0.9252686, '105': 0.9233538}","{'220': 0.9764627, '152': 0.969895, '7': 0.961916, '33': 0.96005446, '120': 0.95848626, '159': 0.95779294, '146': 0.95755047, '212': 0.9556404, '11': 0.955275, '22': 0.9530589}","{'159': 0.99849296, '42': 0.99831563, '119': 0.9983119, '194': 0.99830115, '63': 0.99829984, '66': 0.9981817, '156': 0.9981277, '181': 0.99811846, '33': 0.9980759, '84': 0.99785626}"
Relay Zone: a role is role_of  some Rock Volume. It can be realized when a Rock Volume constitutes a link between two adajacent Fault Zone having similar characteristics and shows the displacement is transferred.,"['59', '122']",2,"['59', '70', '156', '119', '152', '90', '40', '107', '85', '97']","{'152': 0.9162791, '29': 0.9089159, '108': 0.90474665, '2': 0.9026612, '22': 0.90263, '36': 0.90197337, '11': 0.8982202, '141': 0.8981092, '35': 0.883726, '196': 0.88146514}","{'59': 0.6477468, '123': 0.55267084, '45': 0.46363616, '152': 0.4316463, '156': 0.39786416, '61': 0.39328584, '33': 0.36945537, '114': 0.3493905, '66': 0.3264261, '124': 0.31186074}","{'59': 0.8014926, '123': 0.70030177, '70': 0.6611427, '33': 0.65251, '197': 0.64364743, '144': 0.63654876, '1': 0.6364789, '111': 0.6339787, '86': 0.6284024, '155': 0.6221584}","{'102': 0.9449696, '138': 0.9449094, '56': 0.9446331, '58': 0.94361264, '131': 0.94234717, '95': 0.9406515, '44': 0.9374983, '88': 0.9322609, '45': 0.92801297, '220': 0.92497593}","{'152': 0.9810116, '203': 0.97283363, '155': 0.969772, '11': 0.9696696, '22': 0.9694408, '84': 0.9672161, '2': 0.9667118, '33': 0.9654072, '212': 0.9643967, '156': 0.9622935}","{'119': 0.9991567, '42': 0.99915445, '63': 0.99915016, '194': 0.9991482, '66': 0.9990109, '33': 0.998987, '2': 0.9987559, '84': 0.9987558, '117': 0.9987473, '75': 0.9987351}"
Permeability: a disposition that is  disposition_of some Amount of Rock. It quantifies the capability a rock of letting a liquid or gas flow through under pressure.,"['175', '101']",2,"['100', '175', '16', '178', '28', '2', '84', '140', '195', '11']","{'100': 0.8689349, '129': 0.8394767, '97': 0.8356468, '46': 0.829761, '196': 0.82749575, '31': 0.8268237, '181': 0.82511955, '35': 0.82111037, '120': 0.8196207, '203': 0.81161296}","{'100': 0.7986051, '175': 0.7332515, '33': 0.46140197, '120': 0.4388322, '117': 0.4387294, '45': 0.43329078, '159': 0.42760262, '163': 0.41752145, '114': 0.4002853, '124': 0.3742006}","{'100': 0.7634523, '175': 0.65845525, '17': 0.64737034, '33': 0.63570154, '129': 0.6213957, '155': 0.62092906, '11': 0.6179796, '197': 0.6133815, '130': 0.60414886, '70': 0.6011258}","{'100': 0.93918294, '155': 0.93453956, '45': 0.93393934, '129': 0.9258995, '180': 0.92029524, '186': 0.91978896, '152': 0.9165586, '22': 0.911358, '203': 0.91069025, '131': 0.91037035}","{'100': 0.970689, '31': 0.9660627, '45': 0.962637, '186': 0.96105874, '96': 0.9609539, '147': 0.9598489, '59': 0.9590984, '36': 0.9586744, '137': 0.9586142, '166': 0.9581778}","{'124': 0.9989895, '89': 0.9986606, '53': 0.99851626, '107': 0.99851257, '90': 0.9985106, '71': 0.99851054, '104': 0.9985054, '139': 0.99847263, '68': 0.99841034, '150': 0.998354}"
a Fault Structure in which the Fault Wall that  has_role Hanging Wall is lower or has moved downthrown relative to the Fault Wall that has_role Footwall.,"['222', '58']",2,"['52', '42', '193', '173', '76', '43', '72', '57', '105', '222']","{'222': 0.8615798, '187': 0.85667896, '39': 0.84527427, '96': 0.84491867, '200': 0.8428592, '46': 0.8423846, '156': 0.8417092, '152': 0.8373591, '99': 0.83687925, '212': 0.8267759}","{'23': 0.69440794, '52': 0.67202985, '42': 0.6517358, '149': 0.60955644, '182': 0.59622383, '43': 0.59099317, '71': 0.558895, '76': 0.5321374, '156': 0.5084778, '222': 0.5001446}","{'52': 0.7413038, '23': 0.7035965, '182': 0.69067043, '197': 0.68513334, '42': 0.68015546, '71': 0.6779852, '24': 0.6650466, '7': 0.6573205, '6': 0.65483916, '69': 0.6519809}","{'220': 0.95028794, '131': 0.93348426, '44': 0.9318879, '138': 0.9310792, '102': 0.9309975, '85': 0.92568624, '56': 0.92377454, '95': 0.92235446, '58': 0.9215578, '139': 0.9200235}","{'220': 0.9855506, '120': 0.9746441, '152': 0.9742644, '11': 0.97406626, '33': 0.97355866, '146': 0.973277, '22': 0.9726637, '2': 0.97000253, '7': 0.9692698, '155': 0.9688283}","{'222': 0.99926096, '212': 0.99901927, '203': 0.9989439, '7': 0.99887913, '152': 0.99882007, '159': 0.9987056, '35': 0.9984205, '156': 0.9983617, '181': 0.99835294, '196': 0.9979547}"
An amount of rock is a solid consolidated 'earth material' that is 'constituted by' an aggregate of particles made of mineral matter or material of biological origin.,"['45', '155', '101', '31', '129', '33', '152', '147']",8,"['180', '33', '203', '133', '75', '147', '109', '152', '100', '155']","{'180': 0.86304855, '133': 0.8546612, '203': 0.85078603, '147': 0.8499638, '181': 0.83829856, '118': 0.8259527, '120': 0.82147294, '97': 0.8198303, '124': 0.81843, '196': 0.8012881}","{'147': 0.7293226, '180': 0.6570991, '97': 0.64723456, '203': 0.5855329, '75': 0.578704, '33': 0.5331097, '117': 0.5160382, '159': 0.51191086, '163': 0.4948303, '124': 0.43251067}","{'147': 0.80735725, '203': 0.74747884, '180': 0.74543095, '97': 0.7392712, '163': 0.73856544, '124': 0.7352705, '33': 0.7279804, '75': 0.726035, '41': 0.7211479, '133': 0.7209072}","{'41': 0.94057286, '133': 0.9393369, '180': 0.93885726, '4': 0.92867166, '75': 0.92552334, '155': 0.9193585, '85': 0.9187595, '203': 0.91686803, '33': 0.91677433, '84': 0.91020334}","{'185': 0.9729335, '137': 0.9728456, '153': 0.9727456, '166': 0.9720134, '97': 0.9712812, '40': 0.9710349, '149': 0.9701853, '182': 0.96802914, '24': 0.96550953, '124': 0.9654724}","{'222': 0.99898493, '7': 0.99834716, '133': 0.9983349, '120': 0.99831307, '187': 0.9982694, '62': 0.998257, '34': 0.99825037, '146': 0.9981574, '118': 0.99812824, '35': 0.9977231}"
Fault Wall: a Rock Volume that is part_of Fault Volume and externally_connected_with Fault Core. It corresponds to the volume that is located aside the Fault Core.,"['150', '24', '105', '42', '94', '76', '23', '196', '52', '72', '182']",11,"['182', '71', '107', '70', '90', '40', '197', '166', '156', '137']","{'86': 0.8632414, '70': 0.8602359, '69': 0.85501087, '31': 0.85043484, '153': 0.85000694, '22': 0.846685, '40': 0.84582305, '96': 0.84491783, '152': 0.8399439, '212': 0.83688986}","{'197': 0.77804434, '182': 0.77233756, '42': 0.7598608, '71': 0.7554556, '22': 0.72327095, '153': 0.7124611, '90': 0.6987729, '11': 0.68535084, '156': 0.66164005, '107': 0.6446063}","{'197': 0.8536671, '71': 0.80662614, '86': 0.80439615, '70': 0.79359746, '22': 0.7911573, '42': 0.7827953, '30': 0.77627987, '182': 0.77173805, '11': 0.76372534, '53': 0.75747466}","{'131': 0.93954474, '44': 0.93737215, '56': 0.93439823, '95': 0.93378305, '58': 0.93296045, '107': 0.93219626, '220': 0.9290993, '194': 0.92690504, '78': 0.92472786, '212': 0.9128762}","{'220': 0.9791422, '212': 0.9781097, '11': 0.9773464, '22': 0.9759727, '155': 0.97309494, '2': 0.9724071, '84': 0.9712259, '152': 0.9710098, '66': 0.9694672, '156': 0.9668647}","{'222': 0.9995945, '203': 0.99940574, '120': 0.9993826, '7': 0.9993079, '187': 0.9992892, '146': 0.9992852, '34': 0.99928325, '62': 0.99928004, '35': 0.9985505, '196': 0.99846536}"
Graben: a role is role_of  some Fault Wall when this Fault wall has_role some Hanging Wall of two normal faults dipping towards each other.,"['77', '35', '76']",3,"['52', '76', '23', '42', '182', '71', '24', '193', '149', '105']","{'187': 0.88137376, '152': 0.8674863, '222': 0.86499184, '141': 0.86497426, '36': 0.8624474, '108': 0.86221945, '69': 0.8619147, '153': 0.86034256, '96': 0.85817087, '29': 0.8486869}","{'76': 0.69087523, '64': 0.6152209, '206': 0.6036196, '23': 0.5958686, '94': 0.5713208, '169': 0.5407877, '141': 0.5380251, '108': 0.51815116, '156': 0.450711, '152': 0.4457696}","{'76': 0.6926681, '23': 0.6160257, '105': 0.5959247, '62': 0.59105396, '182': 0.58771783, '71': 0.57816744, '197': 0.5756418, '52': 0.5730877, '42': 0.5699753, '24': 0.56066966}","{'76': 0.9295721, '94': 0.92940724, '59': 0.92709583, '52': 0.9257856, '23': 0.924856, '182': 0.92036754, '71': 0.91971564, '152': 0.91206443, '220': 0.90798604, '212': 0.89045924}","{'76': 0.9462996, '94': 0.9458266, '52': 0.9439497, '23': 0.9366036, '152': 0.9334628, '59': 0.930332, '141': 0.92977625, '108': 0.9295465, '36': 0.929029, '45': 0.9288296}","{'222': 0.9990805, '212': 0.99863523, '152': 0.99842924, '203': 0.9984267, '7': 0.99841934, '120': 0.9983382, '35': 0.99829984, '159': 0.99820966, '146': 0.9980637, '196': 0.997642}"
It is a quality that 'inheres in' a 'geological object' or 'earth material' that corresponds to the 'geological time interval' in which the 'geological process' that it was 'generated by' occupied.,"['118', '82']",2,"['117', '120', '61', '181', '163', '159', '75', '124', '66', '33']","{'181': 0.836913, '120': 0.82948256, '117': 0.8122513, '118': 0.8079505, '203': 0.8077094, '163': 0.8025227, '114': 0.8012912, '75': 0.80007195, '133': 0.7874511, '196': 0.78161293}","{'159': 0.6555298, '120': 0.6328554, '117': 0.61157525, '203': 0.59618545, '75': 0.5746468, '163': 0.5470217, '14': 0.5183818, '33': 0.48564819, '124': 0.4654143, '66': 0.44525108}","{'117': 0.75715697, '124': 0.74944925, '66': 0.7401893, '75': 0.74004865, '203': 0.7394658, '163': 0.7339786, '181': 0.71761906, '159': 0.71314836, '120': 0.6903799, '97': 0.68613654}","{'131': 0.9404211, '44': 0.9367245, '1': 0.923608, '88': 0.923321, '139': 0.9228515, '115': 0.9222789, '91': 0.9221189, '68': 0.921193, '134': 0.9191441, '220': 0.9051047}","{'120': 0.99143, '146': 0.9869122, '11': 0.9836572, '22': 0.982977, '2': 0.9820093, '155': 0.9818264, '84': 0.9806712, '4': 0.9806148, '75': 0.98054653, '117': 0.98037475}","{'120': 0.9994309, '222': 0.99940497, '7': 0.999359, '146': 0.9993097, '187': 0.9991772, '34': 0.9991694, '62': 0.9991668, '118': 0.99897563, '196': 0.9986196, '35': 0.99853206}"
